genres,original_title,director,production_companies
"adventure,drama",Cast Away,Robert Zemeckis,"DreamWorks SKG,Twentieth Century Fox Film Corporation,Playtone,ImageMovers"
"animation,comedy",Happy Feet,George Miller,"Kennedy Miller Productions,Animal Logic"
"action,drama,thriller",The Bourne Supremacy,Paul Greengrass,"Universal Pictures,The Kennedy/Marshall Company,Hypnotic,Motion Picture THETA Produktionsgesellschaft,Ludlum Entertainment"
"action,thriller",Air Force One,Wolfgang Petersen,"Columbia Pictures Corporation,Beacon Communications,Radiant Productions"
"crime,thriller",Ocean's Eleven,Steven Soderbergh,"Village Roadshow Pictures,Section Eight,NPV Entertainment,Jerry Weintraub Productions,Warner Bros.,WV Films II"
"action,adventure,thriller",The Three Musketeers,Paul W.S. Anderson,"Impact Pictures,Studio Babelsberg,Nouvelles Éditions de Films (NEF),New Legacy,Constantin Film Produktion"
"animation,comedy,family,fantasy",Hotel Transylvania,Genndy Tartakovsky,"Columbia Pictures,Sony Pictures Animation"
"comedy,family,fantasy,romance",Enchanted,Kevin Lima,"Walt Disney Pictures,Josephson Entertainment,Andalasia Productions,Right Coast Productions"
"action,thriller",Safe House,Daniel Espinosa,"Universal Pictures,Dentsu,Relativity Media,Bluegrass Films"
"comedy,family",102 Dalmatians,Kevin Lima,"Walt Disney Pictures,Cruella Productions"
"action,comedy",Tower Heist,Brett Ratner,"Universal Pictures,Image Entertainment,Relativity Media,Rat Entertainment"
"comedy,romance",The Holiday,Nancy Meyers,"Columbia Pictures,Universal Pictures,Waverly Films,Relativity Media"
"action,drama,thriller",Enemy of the State,Tony Scott,"Jerry Bruckheimer Films,Scott Free Productions,Touchstone Pictures,No Such Productions"
"comedy,romance",It's Complicated,Nancy Meyers,"Universal Pictures,Scott Rudin Productions,Waverly Films,Dentsu,Relativity Media"
"crime,thriller",Ocean's Thirteen,Steven Soderbergh,"Village Roadshow Pictures,Section Eight,Jerry Weintraub Productions,Warner Bros."
"adventure,animation,family",Open Season,Jill Culton,Sony Pictures Animation
"action,adventure,science fiction",Divergent,Neil Burger,"Summit Entertainment,Red Wagon Entertainment"
war,Enemy at the Gates,Jean-Jacques Annaud,"Paramount Pictures,Swanford Films,Mandalay Pictures,Little Bird,KC Medien,Reperage,DOS,MP Film Management"
"action,adventure,comedy,thriller",The Rundown,Peter Berg,"Columbia Pictures,Universal Pictures,Strike Entertainment,WWE Studios,Misher Films,IM3 Entertainment"
"action,adventure,comedy,family,fantasy",Last Action Hero,John McTiernan,"Columbia Pictures Corporation,Oak Productions"
"drama,history,romance",Memoirs of a Geisha,Rob Marshall,"DreamWorks SKG,Spyglass Entertainment,Columbia Pictures Corporation,Red Wagon Productions"
"action,crime,drama,thriller",The Fast and the Furious: Tokyo Drift,Justin Lin,Universal Pictures
"animation,comedy,drama,family",Arthur Christmas,Barry Cook,"Columbia Pictures,Aardman Animations,Sony Pictures Animation"
"drama,fantasy,mystery",Meet Joe Black,Martin Brest,"Universal Pictures,City Light Films"
"action,drama,thriller",Collateral Damage,Andrew Davis,"David Foster Productions,Bel Air Entertainment,Warner Bros.,Hacienda Productions"
"drama,music",All That Jazz,Bob Fosse,"Twentieth Century Fox Film Corporation,Columbia Pictures Corporation"
"adventure,comedy,drama,fantasy,science fiction",Mirror Mirror,Tarsem Singh,"Relativity Media,Misher Films,Yucaipa Films,Goldmann Pictures,Rat Entertainment,Misha Films"
"action,adventure,comedy",Scott Pilgrim vs. the World,Edgar Wright,"Universal Pictures,Marc Platt Productions"
"action,adventure,science fiction,thriller",The Core,Jon Amiel,"Paramount Pictures,David Foster Productions,Horsepower Films,LivePlanet,Core Productions,Munich Film Partners New Century & Company (MFP) Core Productions"
"comedy,fantasy,romance,science fiction",Nutty Professor II: The Klumps,Peter Segal,"Imagine Entertainment,Universal Pictures"
"adventure,comedy,mystery",Scooby-Doo,Raja Gosnell,"Atlas Entertainment,Mosaic Media Group,Warner Bros."
"action,science fiction",Dredd,Pete Travis,"DNA Films,Reliance BIG Entertainment,IM Global,Rena Film,Peach Trees"
"comedy,drama,fantasy,romance",Click,Frank Coraci,"Original Film,Columbia Pictures Corporation,Revolution Studios,Happy Madison Productions"
"comedy,fantasy,horror",Creepshow,George A. Romero,"Warner Bros.,Creepshow Films Inc.,Laurel Entertainment Inc."
"comedy,family",Cats & Dogs 2 : The Revenge of Kitty Galore,Brad Peyton,Village Roadshow Pictures
"adventure,fantasy,science fiction",Jumper,Doug Liman,"Dune Entertainment,Hypnotic,New Regency Pictures"
"adventure,fantasy,science fiction",Hellboy II: The Golden Army,Guillermo del Toro,"Universal Pictures,Dark Horse Entertainment,Lawrence Gordon Productions,Mid Atlantic Films,Relativity Media,Internationale Filmproduktion Eagle"
"crime,drama,mystery,thriller",Zodiac,David Fincher,"Paramount Pictures,Warner Bros.,Phoenix Pictures"
science fiction,The 6th Day,Roger Spottiswoode,Phoenix Pictures
"comedy,fantasy",Bruce Almighty,Tom Shadyac,"Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Pit Bull Productions"
"action,adventure,thriller",The Expendables,Sylvester Stallone,Millennium Films
"action,adventure,thriller",Mission: Impossible,Brian De Palma,"Paramount Pictures,Cruise/Wagner Productions"
"adventure,fantasy,science fiction",The Hunger Games,Gary Ross,"Lionsgate,Color Force"
comedy,The Hangover Part II,Todd Phillips,"Legendary Pictures,Living Films,Green Hat Films,Warner Bros."
"action,fantasy",Batman Returns,Tim Burton,"PolyGram Filmed Entertainment,Warner Bros."
"animation,comedy,family",Over the Hedge,Karey Kirkpatrick,"Pacific Data Images (PDI),DreamWorks Animation"
"animation,family",Lilo & Stitch,Chris Sanders,"Walt Disney Pictures,Walt Disney Feature Animation"
"comedy,family,fantasy",Charlotte's Web,Gary Winick,"Paramount Pictures,Kerner Entertainment Company"
"action,drama,romance",Deep Impact,Mimi Leder,"Paramount Pictures,DreamWorks SKG,Zanuck/Brown Productions,Manhattan Project"
"action,comedy,crime,thriller",RED 2,Dean Parisot,"DC Comics,Di Bonaventura Pictures,Summit Entertainment,DC Entertainment"
"comedy,drama",The Longest Yard,Peter Segal,"Paramount Pictures,Columbia Pictures Corporation,MTV Films,Happy Madison Productions,Callahan Filmworks"
"animation,comedy,family,fantasy,music",Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,Fox 2000 Pictures
comedy,Grown Ups 2,Dennis Dugan,"Columbia Pictures,Happy Madison Productions,Sony Pictures Entertainment (SPE)"
"action,comedy,thriller",Get Smart,Peter Segal,"Village Roadshow Pictures,Atlas Entertainment,Mosaic Media Group,Mad Chance,Warner Bros.,WV Films IV,Mel's Cite du Cinema,Callahan Filmworks"
"comedy,drama,romance",Something's Gotta Give,Nancy Meyers,"Columbia Pictures Corporation,Waverly Films,Warner Bros."
"drama,mystery,thriller",Shutter Island,Martin Scorsese,"Paramount Pictures,Appian Way,Phoenix Pictures,Sikelia Productions"
"comedy,drama,romance",Four Christmases,Seth Gordon,"New Line Cinema,Spyglass Entertainment,Type A Films,Ott Medien,Wild West Picture Show Productions"
"animation,comedy,family,science fiction",Robots,Chris Wedge,"Blue Sky Studios,Twentieth Century Fox Animation"
"action,crime,science fiction,thriller",Face/Off,John Woo,"Paramount Pictures,Permut Presentations,WCG Entertainment Productions,Douglas/Reuther Productions,Touchstone Pictures,Krane Entertainment"
"comedy,family,fantasy,romance",Bedtime Stories,Adam Shankman,"Walt Disney Pictures,Happy Madison Productions,Gunn Films"
"crime,drama,thriller",Road to Perdition,Sam Mendes,"DreamWorks SKG,The Zanuck Company,Twentieth Century Fox Film Corporation"
"comedy,romance",Just Go with It,Dennis Dugan,"Columbia Pictures,Happy Madison Productions"
"action,crime,thriller",Con Air,Simon West,"Jerry Bruckheimer Films,Kouf/Bigelow Productions,Touchstone Pictures,Hiett Designs of Las Vegas,Runway Pictures Inc"
"action,mystery,thriller",Eagle Eye,D.J. Caruso,"DreamWorks SKG,K/O Paper Products,Goldcrest Pictures,KMP Film Invest"
drama,Cold Mountain,Anthony Minghella,"Miramax Films,Mirage Enterprises,Castel Film Romania,Bona Fide Productions,Cattleya"
"action,science fiction,thriller",The Book of Eli,Albert Hughes,"Alcon Entertainment,Silver Pictures"
"comedy,family,science fiction",Flubber,Les Mayfield,"Walt Disney Pictures,Great Oaks Entertainment"
"fantasy,horror,mystery,thriller",The Haunting,Jan de Bont,"DreamWorks,Roth-Arnold Productions"
"animation,comedy,drama,family,fantasy",Space Jam,Joe Pytka,"Warner Bros. Family Entertainment,Northern Lights Entertainment,Courtside Seats Productions"
"action,comedy,crime,family,mystery",The Pink Panther,Shawn Levy,"Columbia Pictures,International Production Company,The Montecito Picture Company,Robert Simonds Productions,Metro-Goldwyn-Mayer (MGM)"
"drama,science fiction,thriller",The Day the Earth Stood Still,Scott Derrickson,"Twentieth Century Fox Film Corporation,Dune Entertainment III,Earth Canada Productions,Hammerhead Productions,3 Arts Entertainment"
"action,drama,mystery,thriller",Conspiracy Theory,Richard Donner,"Silver Pictures,Warner Bros.,Donner/Shuler-Donner Productions"
"action,drama,war",Fury,David Ayer,"Columbia Pictures,QED International,Crave Films,LStar Capital,Huayi Brothers Media,Le Grisbi Productions"
"action,adventure,comedy,romance",Six Days Seven Nights,Ivan Reitman,"Caravan Pictures,Roger Birnbaum Productions,Northern Lights Entertainment,Touchstone Pictures"
"adventure,animation,comedy,family",Yogi Bear,Eric Brevig,"De Line Pictures,Warner Bros. Animation,Sunswept Entertainment,Rhythm and Hues,Picnic Basket"
"adventure,animation,comedy,family,western",Spirit: Stallion of the Cimarron,Kelly Asbury,"DreamWorks SKG,DreamWorks Animation"
"comedy,family,romance",Zookeeper,Frank Coraci,"Columbia Pictures,Happy Madison Productions,Sony Pictures Releasing,Broken Road Productions,Metro-Goldwyn-Mayer (MGM),Zookeeper Productions,Hey Eddie"
"adventure,family,science fiction",Lost in Space,Stephen Hopkins,"New Line Cinema,Irwin Allen Productions,Prelude Pictures,Saltire Entertainment"
"drama,mystery,thriller",The Manchurian Candidate,Jonathan Demme,"Paramount Pictures,Scott Rudin Productions,Clinica Estetico"
"drama,romance",Déjà Vu,Henry Jaglom,"Rainbow Film Company, The,Revere Entertainment,Jagtoria Films"
"animation,comedy,family",Hotel Transylvania 2,Genndy Tartakovsky,"Columbia Pictures,Sony Pictures Animation"
"animation,family,music",Fantasia 2000,James Algar,Walt Disney Pictures
"action,adventure,science fiction",The Time Machine,Simon Wells,"DreamWorks SKG,Warner Bros."
"action,adventure,family,fantasy",Mighty Joe Young,Ron Underwood,"Walt Disney Pictures,RKO Pictures"
"action,crime,thriller",Swordfish,Dominic Sena,"Village Roadshow Pictures,NPV Entertainment,Silver Pictures,Warner Bros.,Jonathan Krane Group"
"action,adventure",The Legend of Zorro,Martin Campbell,"Amblin Entertainment,Columbia Pictures Corporation"
"drama,fantasy,romance",What Dreams May Come,Vincent Ward,PolyGram Filmed Entertainment
"comedy,fantasy,romance",Little Nicky,Steven Brill,"New Line Cinema,Avery Pix,Happy Madison Productions"
"action,adventure,comedy,fantasy,thriller",The Brothers Grimm,Terry Gilliam,"The Weinstein Company,Summit Entertainment,Atlas Entertainment,Mosaic Media Group,Reforma Films,Dimension Films,Metro-Goldwyn-Mayer (MGM),Revolution Sun Studios"
"comedy,fantasy,science fiction",Mars Attacks!,Tim Burton,Tim Burton Productions
"drama,horror,mystery",Évolution,Lucile Hadzihalilovic,"Ex Nihilo,Canal+,Les films du Worso,Noodles Production,Ciné+,Scope Pictures,Le Tax Shelter du Gouvernement Fédéral de Belgique,Centre National de la Cinématographie (CNC),Ministère de la Culture et de la Communication,Volcano Films,Left Field Ventures,Evo Films A.I.E.,Indéfilms 3,Palatine Étoile 12,Cinéfeel Prod"
"action,adventure,drama",The Edge,Lee Tamahori,Art Linson Productions
"action,science fiction,thriller",Surrogates,Jonathan Mostow,"Touchstone Pictures,Mandeville Films,Wintergreen Productions,Top Shelf Productions"
"drama,thriller",Thirteen Days,Roger Donaldson,"New Line Cinema,Tig Productions"
"action,adventure,thriller",Daylight,Rob Cohen,"Universal Pictures,Davis Entertainment"
"adventure,animation,family",Walking With Dinosaurs,Barry Cook,"BBC Worldwide,Reliance BIG Entertainment,Animal Logic,BBC Earth,Evergreen Films,BBC Earth MD (WWD),Evergreen MD"
"action,science fiction,war",Battlefield Earth,Roger Christian,"Franchise Pictures,Warner Bros.,JTP Films,Morgan Creek Productions,Battlefield Productions"
"animation,comedy,family",Looney Tunes: Back in Action,Joe Dante,"Lonely Film Productions GmbH & Co. KG.,Warner Bros. Animation,Warner Bros.,Goldmann Pictures,Baltimore Spring Creek Productions,Warner Bros. Feature Animation"
"drama,music,romance",Nine,Rob Marshall,"The Weinstein Company,Relativity Media"
"action,adventure,science fiction",Timeline,Richard Donner,"Paramount Pictures,Donners' Company,Mutual Film Company,Cobalt Media Group,Artists Production Group (APG)"
"adventure,drama",The Postman,Kevin Costner,"Tig Productions,Warner Bros."
"adventure,comedy,drama,family,fantasy",Babe: Pig in the City,George Miller,Kennedy Miller Productions
"action,adventure,fantasy",The Last Witch Hunter,Breck Eisner,"Summit Entertainment,Atmosphere Entertainment MM,One Race Films,Goldmann Pictures,NeoReel,Aperture Entertainment,TIK Films"
"action,science fiction,thriller",Red Planet,Antony Hoffman,"Village Roadshow Pictures,NPV Entertainment,Warner Bros.,The Canton Company,Mars Production Pty. Ltd."
"adventure,animation,family,fantasy",Arthur et les Minimoys,Luc Besson,"Canal Plus,Sofica Europacorp,Avalanche Productions,EuropaCorp"
"documentary,family",Oceans,Jacques Perrin,"Pathé Films,Canal+,TPS Star,Participant Media,France Télévision,France 2 Cinéma,France 3 Cinema,Centre National de la Cinématographie (CNC),Conseil Régional du Calvados,Région Bretagne,Ministère du Développement Durable et de la Mer,JMH-TSR,HH Sheikha Salama bint Hamdan Al Nahyan,Conseil Général des Côtes d'Armor,Conseil Général du Morbihan,Région Basse-Normandie"
"action,adventure,science fiction,thriller",A Sound of Thunder,Peter Hyams,"Epsilon Motion Pictures,Franchise Pictures,Baldwin Entertainment Group,Dante Entertainment,Crusader Entertainment,ETIC Films,Forge,QI Quality International GmbH Co. KG,Signature Pictures,ApolloMedia Distribution,Coco,Film 111,Jericho Productions Ltd.,MFF (Sound of Thunder),Matrix Film Finance,Scenario Lane Productions"
"action,adventure,drama,history,romance",Pompeii,Paul W.S. Anderson,"Impact Pictures,TriStar Pictures,Don Carmody Productions,FilmDistrict,Constantin Film International"
"animation,comedy",Don Gato: El inicio de la pandilla,Andr\u00e9s Couturier,"Anima Estudios,Discreet Art Productions"
"drama,romance",A Beautiful Mind,Ron Howard,"Imagine Entertainment,DreamWorks SKG,Universal Pictures"
"animation,drama,family",The Lion King,Roger Allers,"Walt Disney Pictures,Walt Disney Feature Animation"
"action,adventure,science fiction",Journey 2: The Mysterious Island,Brad Peyton,"New Line Cinema,Contrafilm,Walden Media"
"animation,comedy,family",Cloudy with a Chance of Meatballs 2,Cody Cameron,"Columbia Pictures,Sony"
"crime,horror,thriller",Red Dragon,Brett Ratner,"Universal Pictures,Metro-Goldwyn-Mayer (MGM)"
"adventure,western",Hidalgo,Joe Johnston,"Casey Silver Productions,Touchstone Pictures,Dune Films"
comedy,Jack and Jill,Dennis Dugan,"Columbia Pictures,Happy Madison Productions,Broken Road Productions"
"action,crime,thriller",2 Fast 2 Furious,John Singleton,"Mikona Productions GmbH & Co. KG,Universal Pictures,Original Film,Ardustry Entertainment"
"adventure,animation,fantasy",The Little Prince,Mark Osborne,"Onyx Films,NetFlix,Orange Studios,CityMation,On Entertainment,Zippcast Films"
"science fiction,thriller",The Invasion,Oliver Hirschbiegel,"Village Roadshow Pictures,Vertigo Entertainment,Silver Pictures,Warner Bros."
"action,adventure,animation,comedy,family",The Adventures of Rocky & Bullwinkle,Des McAnuff,"Universal Pictures,Capella International,KC Medien AG,Tribeca Productions"
"animation,family",The Secret Life of Pets,Chris Renaud,"Universal Pictures,Fuji Television Network,Dentsu,Illumination Entertainment"
"action,fantasy,science fiction,thriller",The League of Extraordinary Gentlemen,Stephen Norrington,"Twentieth Century Fox Film Corporation,JD Productions,International Production Company,Angry Films,Mediastream Dritte Film GmbH & Co. Beteiligungs KG"
"animation,comedy,family",Despicable Me 2,Pierre Coffin,"Universal Pictures,Illumination Entertainment"
"action,adventure,science fiction",Independence Day,Roland Emmerich,"Twentieth Century Fox Film Corporation,Centropolis Entertainment"
"action,adventure,science fiction",The Lost World: Jurassic Park,Steven Spielberg,"Universal Pictures,Amblin Entertainment"
"animation,family",Madagascar,Eric Darnell,"DreamWorks SKG,Pacific Data Images (PDI),DreamWorks Animation"
"action,drama,science fiction,thriller",Children of Men,Alfonso Cuar\u00f3n,"Universal Pictures,Strike Entertainment,Hit & Run Productions"
"action,adventure,science fiction",X-Men,Bryan Singer,"Twentieth Century Fox Film Corporation,Donners' Company,Bad Hat Harry Productions,Marvel Enterprises,Springwood Productions,Genetics Productions"
"action,crime,thriller",Wanted,Timur Bekmambetov,"Universal Pictures,Spyglass Entertainment,Bazelevs Production,Kickstart Productions,Marc Platt Productions,Top Cow Productions,Relativity Media,Ringerike Zweite Filmproduktion,Revolution Sun Studios"
"action,adventure,thriller",The Rock,Michael Bay,"Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films"
"adventure,animation,comedy,family",Ice Age: The Meltdown,Carlos Saldanha,"Blue Sky Studios,Twentieth Century Fox Animation"
"comedy,romance",50 First Dates,Peter Segal,"Columbia Pictures Corporation,Happy Madison Productions,Anonymous Content,Flower Films (II)"
"comedy,family,music,romance",Hairspray,Adam Shankman,"New Line Cinema,Ingenious Film Partners,Offspring Entertainment,Zadan / Meron Productions"
"horror,mystery,thriller",Exorcist: The Beginning,Renny Harlin,"Morgan Creek Productions,Dominion Productions"
"action,adventure,comedy,family",Inspector Gadget,David Kellogg,"Walt Disney Pictures,Caravan Pictures,DiC Entertainment"
"crime,thriller",Now You See Me,Louis Leterrier,"Summit Entertainment,K/O Paper Products,SOIXAN7E QUIN5E,See Me Louisiana"
comedy,Grown Ups,Dennis Dugan,"Columbia Pictures,Happy Madison Productions,Relativity Media"
"comedy,drama",The Terminal,Steven Spielberg,"DreamWorks SKG,Amblin Entertainment,Parkes/MacDonald Productions"
"comedy,family",Hotel for Dogs,Thor Freudenthal,"DreamWorks SKG,Nickelodeon Movies"
"action,adventure,thriller",Vertical Limit,Martin Campbell,"Columbia Pictures Corporation,Global Entertainment Productions GmbH & Company Medien KG"
"comedy,drama,history",Charlie Wilson's War,Mike Nichols,"Universal Pictures,Participant Productions,Playtone Production"
"action,animation,comedy,family",Shark Tale,Vicky Jenson,"DreamWorks SKG,Pacific Data Images (PDI),DreamWorks Animation"
drama,Dreamgirls,Bill Condon,"Paramount Pictures,DreamWorks SKG,Laurence Mark Productions"
"comedy,crime",Be Cool,F. Gary Gray,"Double Feature Films,Jersey Films,Nina Saxon Film Design,Metro-Goldwyn-Mayer (MGM)"
"action,drama,history,thriller",Munich,Steven Spielberg,"DreamWorks SKG,Universal Pictures,Amblin Entertainment,Peninsula Films,Alliance Atlantis Communications,Kennedy/Marshall Company, The,Barry Mendel Productions"
"action,drama,war",Tears of the Sun,Antoine Fuqua,"Columbia Pictures,Revolution Studios,Cheyenne Enterprises,Michael Lobell Productions"
"action,comedy,romance,thriller",Killers,Robert Luketic,"Katalyst Films,Lionsgate,Aversano Films"
"action,adventure,comedy",The Man from U.N.C.L.E.,Guy Ritchie,"Davis Entertainment,Warner Bros.,Wigram Productions,RatPac-Dune Entertainment"
comedy,Spanglish,James L. Brooks,"Gracie Films,Columbia Pictures Corporation"
"animation,comedy,family,fantasy",Monster House,Gil Kenan,"Columbia Pictures,Amblin Entertainment,Sony Pictures Animation,Sony Pictures Entertainment,ImageMovers"
"action,comedy,crime,romance",Bandits,Barry Levinson,"Cheyenne Enterprises,Epsilon Motion Pictures,Empire Pictures,Metro-Goldwyn-Mayer (MGM),Hyde Park Entertainment,Baltimore Spring Creek Productions,Lotus Pictures"
"action,adventure,drama,romance",First Knight,Jerry Zucker,"Columbia Pictures Corporation,First Knight Productions"
"drama,history,romance",Anna and the King,Andy Tennant,Fox 2000 Pictures
"action,drama,fantasy",Immortals,Tarsem Singh,"Virgin Produced,Mark Canton Productions"
"crime,drama,mystery,thriller",Hostage,Florent-Emilio Siri,"Miramax Films,Cheyenne Enterprises,Yari Film Group,Stratus Film Co.,Syndicate Films International,Equity Pictures Medienfonds GmbH & Co. KG II,Hostage GmbH"
"action,adventure,animation,family,science fiction",Titan A.E.,Gary Goldman,"Twentieth Century Fox Film Corporation,David Kirschner Productions,Fox Animation Studios"
"action,adventure,comedy,thriller",Hollywood Homicide,Ron Shelton,"Columbia Pictures,Revolution Studios"
"action,science fiction,war",Soldier,Paul W.S. Anderson,"Impact Pictures,Jerry Weintraub Productions,Warner Bros.,Morgan Creek Productions"
"action,drama,horror,science fiction,thriller",Carriers,\u00c0lex Pastor,"Paramount Vantage,Likely Story,Ivy Boy Productions,This Is That Productions"
"action,adventure,animation,comedy,fantasy",Monkeybone,Henry Selick,"Twentieth Century Fox Film Corporation,1492 Pictures,Twitching Image Studio"
"action,adventure,drama,thriller",Flight of the Phoenix,John Moore,"Twentieth Century Fox Film Corporation,Davis Entertainment,Aldrich Group,Optional Pictures"
"drama,science fiction,thriller",Unbreakable,M. Night Shyamalan,"Limited Edition Productions Inc.,Touchstone Pictures,Blinding Edge Pictures,Barry Mendel Productions"
"adventure,animation,comedy,family",Minions,Kyle Balda,"Universal Pictures,Illumination Entertainment"
"action,fantasy,thriller",Sucker Punch,Zack Snyder,"Legendary Pictures,Warner Bros.,Lennox House Films,Cruel and Unusual Films"
"crime,mystery",Snake Eyes,Brian De Palma,"Paramount Pictures,DeBart,Touchstone Pictures,Mel's Cite du Cinema"
science fiction,Sphere,Barry Levinson,"Punch Productions,Warner Bros.,Baltimore Pictures,Constant c Productions"
"animation,family",The Angry Birds Movie,Fergal Reilly,"Columbia Pictures,Rovio Entertainment,Sony Pictures Imageworks (SPI),Rovio Mobile,Rovio Animation"
"adventure,comedy,romance",Fool's Gold,Andy Tennant,"De Line Pictures,Warner Bros."
"comedy,drama",Funny People,Judd Apatow,"Columbia Pictures,Universal Pictures,Happy Madison Productions,Relativity Media,Apatow Productions,Madison 23"
"action,drama,thriller",The Kingdom,Peter Berg,"Universal Pictures,Forward Pass,Relativity Media,FilmWorks,MDBF Zweite Filmgesellschaft"
comedy,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,"Columbia Pictures,Apatow Productions"
"comedy,family,fantasy,romance",Dr. Dolittle 2,Steve Carr,"Twentieth Century Fox Film Corporation,Joseph M. Singer Entertainment,Davis Entertainment"
"action,drama,history,war",Braveheart,Mel Gibson,"Icon Entertainment International,The Ladd Company,B.H. Finance C.V."
"drama,war",Jarhead,Sam Mendes,"Universal Pictures,Neal Street Productions,Red Wagon Entertainment,Motion Picture KAPPA Produktionsgesellschaft"
"animation,comedy,family",The Simpsons Movie,David Silverman,"Gracie Films,Twentieth Century Fox Film Corporation"
"drama,romance",The Majestic,Frank Darabont,"Village Roadshow Pictures,Castle Rock Entertainment,NPV Entertainment,Darkwoods Productions"
action,Driven,Renny Harlin,"Epsilon Motion Pictures,Franchise Pictures,Trackform Film Productions,Mel's Cite du Cinema"
"adventure,drama,family",Deux frères,Jean-Jacques Annaud,"Pathé Renn Productions,TF1 Films Production,Canal+,Pathe,Two Brothers Productions"
"drama,mystery,thriller",The Village,M. Night Shyamalan,"Scott Rudin Productions,Touchstone Pictures,Blinding Edge Pictures"
"comedy,family,fantasy",Doctor Dolittle,Betty Thomas,"Twentieth Century Fox Film Corporation,Joseph M. Singer Entertainment,Davis Entertainment"
"drama,mystery,science fiction,thriller",Signs,M. Night Shyamalan,"Kennedy/Marshall Company, The,Touchstone Pictures,Blinding Edge Pictures"
"adventure,animation,comedy,family,fantasy",Shrek 2,Andrew Adamson,"DreamWorks SKG,Pacific Data Images (PDI),DreamWorks Animation"
"adventure,animation,comedy,family",Cars,John Lasseter,"Walt Disney Pictures,Pixar Animation Studios"
"comedy,romance",Runaway Bride,Garry Marshall,"Paramount Pictures,Lakeshore Entertainment,Touchstone Pictures,Interscope Communications"
"action,adventure,thriller",xXx,Rob Cohen,"Columbia Pictures,Original Film,Revolution Studios"
"adventure,animation,comedy,family",The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,"Paramount Pictures,Nickelodeon Movies,Nickelodeon Animation Studios,United Plankton Pictures,Disruption Entertainment,Paramount Animation"
"action,thriller",Ransom,Ron Howard,"Touchstone Pictures,Brian Grazer/Scott Rudin Productions"
"action,drama,thriller,war",Inglourious Basterds,Quentin Tarantino,"Universal Pictures,A Band Apart,The Weinstein Company,Zehnte Babelsberg,Visiona Romantica"
"adventure,comedy,family,fantasy",Hook,Steven Spielberg,"Amblin Entertainment,TriStar Pictures"
"action,thriller",Die Hard 2,Renny Harlin,"Twentieth Century Fox Film Corporation,Gordon Company,Silver Pictures"
"action,crime,thriller",S.W.A.T.,Clark Johnson,"Original Film,Columbia Pictures Corporation,Camelot Pictures,Chris Lee Productions,Illusion Entertainment"
"drama,mystery,romance,science fiction,thriller",Vanilla Sky,Cameron Crowe,"Paramount Pictures,Cruise-Wagner Productions,Vinyl Films"
"drama,fantasy,mystery,thriller",Lady in the Water,M. Night Shyamalan,"Legendary Pictures,Warner Bros.,Blinding Edge Pictures"
"action,adventure,science fiction",AVP: Alien vs. Predator,Paul W.S. Anderson,"Impact Pictures,Studio Babelsberg,Twentieth Century Fox Film Corporation,Davis Entertainment,Stillking Films,Brandywine Productions,Lonlink Productions,Kut Productions,Inside Track Films,Charenton Productions Limited,Revolution Sun Studios"
"animation,comedy,family,fantasy,music",Alvin and the Chipmunks: The Squeakquel,Betty Thomas,"Regency Enterprises,Fox 2000 Pictures,Bagdasarian Productions"
"action,history,war",We Were Soldiers,Randall Wallace,"Icon Entertainment International,Wheelhouse Entertainment,Motion Picture Production GmbH & Co. Erste KG"
"action,thriller",Olympus Has Fallen,Antoine Fuqua,"Nu Image Films,Millennium Films"
"action,adventure,science fiction,thriller",Star Trek: Insurrection,Jonathan Frakes,Paramount Pictures
"action,science fiction",Battle: Los Angeles,Jonathan Liebesman,"Columbia Pictures,Original Film,Relativity Media"
"adventure,drama,fantasy",Big Fish,Tim Burton,"Columbia Pictures,The Zanuck Company,Jinks/Cohen Company,Tim Burton Productions"
fantasy,Wolf,Mike Nichols,Columbia Pictures
"drama,war",War Horse,Steven Spielberg,"DreamWorks SKG,Amblin Entertainment,Reliance Entertainment,Kennedy/Marshall Company, The"
"action,drama,history,war",The Monuments Men,George Clooney,"Columbia Pictures,Studio Babelsberg,Fox 2000 Pictures,Smokehouse Pictures,Obelisk Productions"
"action,adventure,science fiction,thriller",The Abyss,James Cameron,"Twentieth Century Fox Film Corporation,Lightstorm Entertainment,Pacific Western"
"crime,drama",Wall Street: Money Never Sleeps,Oliver Stone,"Twentieth Century Fox Film Corporation,Dune Entertainment,Dune Entertainment III,Edward R. Pressman Film"
"action,drama,fantasy,horror,war",Dracula Untold,Gary Shore,"Universal Pictures,Legendary Pictures,Fuji Television Network,Dentsu,Michael De Luca Productions"
"action,crime,drama,thriller",The Siege,Edward Zwick,"Twentieth Century Fox Film Corporation,Lynda Obst Productions,Bedford Falls Company, The"
"adventure,family,fantasy,romance",Stardust,Matthew Vaughn,"Paramount Pictures,Ingenious Film Partners,Di Bonaventura Pictures,Marv Films,Vaughn Productions"
"adventure,drama,history",Seven Years in Tibet,Jean-Jacques Annaud,"TriStar Pictures,Mandalay Entertainment,Applecross,Reperage & Vanguard Films"
